id,value
id_0,25.701175241583424
id_1,64.45303624025908
id_2,19.40471822913349
id_3,28.542758033463148
id_4,9.271221226312813
id_5,30.17297523853225
id_6,41.59732754275117
id_7,16.366125432806726
id_8,50.769293761340066
id_9,32.667822009400055
id_10,37.77917113816911
id_11,58.39910594097207
id_12,35.79294989621183
id_13,38.047166871007285
id_14,29.00573507839087
id_15,11.943334269985078
id_16,51.36226785713351
id_17,22.685595641949348
id_18,15.499345886392131
id_19,17.448248864368693
id_20,15.482713219018905
id_21,29.49137702423018
id_22,39.973820229632004
id_23,9.978831908903585
id_24,61.40438907891985
id_25,45.86594791630406
id_26,26.515777160200006
id_27,7.509323147803278
id_28,29.367396092593467
id_29,35.552215285108254
id_30,17.63781778251202
id_31,11.519605966966816
id_32,16.58488337561536
id_33,7.572921333008954
id_34,16.04767034398209
id_35,43.578439873167156
id_36,23.03102654212097
id_37,27.815943286927567
id_38,10.440100922589865
id_39,56.95897651348936
id_40,46.006971839994456
id_41,20.547303367704906
id_42,53.498329596493406
id_43,18.531573780434627
id_44,43.70846358771752
id_45,50.06359882179518
id_46,58.19220442005192
id_47,40.892619364006954
id_48,54.61890862469192
id_49,38.90996847257795
id_50,30.88083763306722
id_51,22.83570920828307
id_52,42.04763518332424
id_53,25.18717908986999
id_54,36.5129672945062
id_55,38.57779184835664
id_56,24.49405764092546
id_57,20.96385485827876
id_58,35.936394158166664
id_59,33.041603261627785
id_60,11.763755885130257
id_61,24.077180355292516
id_62,31.358292414405405
id_63,51.68983275294232
id_64,49.94857609881329
id_65,26.20293827043464
id_66,37.79646954316352
id_67,52.05928681919423
id_68,29.310385016441334
id_69,38.92431886535339
id_70,64.85126295865413
id_71,55.59437113277948
id_72,42.44652492406922
id_73,14.509738462844489
id_74,13.679426600705362
id_75,35.28721926299545
id_76,62.94821932867428
id_77,2.1915774873316702
id_78,42.27245951820788
id_79,41.69790167788183
id_80,8.798387456099821
id_81,21.07563730181085
id_82,5.948615833262226
id_83,32.064451553681515
id_84,7.9593805561100055
id_85,4.968432177173852
id_86,17.077949744708686
id_87,11.755612232915329
id_88,18.139590278041794
id_89,21.89892164681958
id_90,35.42659146744123
id_91,12.46000937885863
id_92,11.504350218777951
id_93,10.642690742338013
id_94,36.87878569467754
id_95,15.178041560957723
id_96,17.305476457301815
id_97,9.16147763515121
id_98,10.490003916880125
id_99,4.838070388232555
id_100,10.27028866305282
id_101,18.774871594302276
id_102,11.347243039800814
id_103,9.175937928767176
id_104,13.007750761176332
id_105,36.58283713488849
id_106,22.815302951891436
id_107,8.386592980564934
id_108,17.484431271407782
id_109,16.123980558349007
id_110,11.09305555245997
id_111,14.649415769699594
id_112,16.42488417505406
id_113,24.63690362454801
id_114,20.109369293513414
id_115,15.466224638527903
id_116,9.127851262039286
id_117,43.56309694471385
id_118,25.603678965921404
id_119,0.9783800349181371
id_120,0.26306626056362953
id_121,10.395298085881327
id_122,12.483406053291864
id_123,11.894742136385442
id_124,7.225777405497417
id_125,25.08289394427759
id_126,23.668760332799604
id_127,9.173453364223565
id_128,19.446749682941473
id_129,13.119031314737729
id_130,-0.392422128871353
id_131,31.934015626377658
id_132,15.517531567836292
id_133,22.03216309599077
id_134,26.97228589187729
id_135,25.357047960899234
id_136,9.906778124391503
id_137,22.838361031281398
id_138,78.24587898516468
id_139,62.94029012610359
id_140,27.78020832121601
id_141,18.91170650053644
id_142,24.51835214855011
id_143,7.225144452087386
id_144,14.404900158720832
id_145,9.479959305221533
id_146,19.72606073437348
id_147,7.390412069878679
id_148,12.30725184551328
id_149,16.323445376966763
id_150,45.45548458738561
id_151,19.241152852277907
id_152,21.82574724779211
id_153,13.95497842314874
id_154,14.176276521220913
id_155,23.612041537264197
id_156,24.218313795080384
id_157,37.15398195484603
id_158,3.421867343718059
id_159,22.634831841254464
id_160,41.346716020275764
id_161,19.199192931955192
id_162,60.526204140545246
id_163,16.533073139211215
id_164,34.02695163836348
id_165,25.123524878891644
id_166,22.03778236239857
id_167,0.5687607103815043
id_168,68.68469797749003
id_169,16.118367122809065
id_170,15.997324430235688
id_171,70.61646175798208
id_172,20.562131651638293
id_173,2.5817776243491117
id_174,24.132900716469564
id_175,-0.12054708564149294
id_176,9.010958340885573
id_177,18.118384477408387
id_178,22.543182013171375
id_179,24.228732394712473
id_180,42.428906861732756
id_181,34.29985272837529
id_182,30.805265583154533
id_183,14.682488868798067
id_184,7.304566265844701
id_185,42.143772818345546
id_186,35.80909910953233
id_187,33.81313724657995
id_188,15.187941231669692
id_189,24.532840305592444
id_190,14.37421153625617
id_191,15.004041280112457
id_192,29.74461012841513
id_193,73.77576628823707
id_194,31.915402332207627
id_195,10.802632001265223
id_196,62.1168734834375
id_197,17.873357283276246
id_198,19.96287110103947
id_199,20.870801067581574
id_200,122.74140196986207
id_201,22.799581653441596
id_202,58.386171419850335
id_203,4.327018459218768
id_204,58.88884032085892
id_205,33.98349577956208
id_206,14.601774181248192
id_207,15.235047268200667
id_208,60.59997869914013
id_209,14.003340584857517
id_210,38.52152535747669
id_211,68.13713436468676
id_212,19.16231292514373
id_213,113.96905320664486
id_214,40.596365843519784
id_215,75.9966153465587
id_216,90.31196870603051
id_217,70.98604946609959
id_218,30.594986435570696
id_219,21.922278204423698
id_220,30.17733966157087
id_221,56.35298327014161
id_222,25.8349770276066
id_223,38.670906368786234
id_224,42.95840918011511
id_225,9.649843657515039
id_226,5.943043250183984
id_227,81.61351410240016
id_228,29.21230678814165
id_229,1.9107919470997625
id_230,39.86290279748547
id_231,14.80513045144561
id_232,22.35352241313879
id_233,6.994835755699437
id_234,16.067562203874115
id_235,25.131564170210172
id_236,14.400875941044934
id_237,3.5256781162974566
id_238,23.17624674050993
id_239,13.15824822145109
